,RunId,iteration,Step,height,width,density,Flammable_ratio,wind_chance,wind_radius,On Fire,Burned Out,Fine Flammable,Fine Resistant,Wind Activations
0,19,0,0,100,100,0.01,0.0,75.0,31.0,3,0,0,96,0
1,1,0,0,100,100,0.01,0.0,0.0,8.5,0,0,0,74,0
2,23,0,0,100,100,0.01,0.0,100.0,23.5,0,0,0,91,0
3,6,0,0,100,100,0.01,0.0,25.0,8.5,0,0,0,94,0
4,8,0,0,100,100,0.01,0.0,25.0,23.5,2,0,0,92,0
5,14,0,0,100,100,0.01,0.0,50.0,31.0,0,0,0,93,0
6,5,0,0,100,100,0.01,0.0,25.0,1.0,1,0,0,92,0
7,2,0,0,100,100,0.01,0.0,0.0,16.0,0,0,0,95,0
8,25,0,0,100,100,0.01,25.0,0.0,1.0,1,0,22,73,0
9,4,0,0,100,100,0.01,0.0,0.0,31.0,1,0,0,96,0
10,13,0,0,100,100,0.01,0.0,50.0,23.5,0,0,0,114,0
11,3,0,0,100,100,0.01,0.0,0.0,23.5,1,0,0,96,0
12,21,0,0,100,100,0.01,0.0,100.0,8.5,1,0,0,96,0
13,0,0,0,100,100,0.01,0.0,0.0,1.0,2,0,0,100,0
14,24,0,0,100,100,0.01,0.0,100.0,31.0,1,0,0,92,0
15,10,0,0,100,100,0.01,0.0,50.0,1.0,1,0,0,102,0
16,11,0,0,100,100,0.01,0.0,50.0,8.5,0,0,0,83,0
17,20,0,0,100,100,0.01,0.0,100.0,1.0,0,0,0,87,0
18,9,0,0,100,100,0.01,0.0,25.0,31.0,0,0,0,106,0
19,22,0,0,100,100,0.01,0.0,100.0,16.0,0,0,0,104,0
20,29,0,0,100,100,0.01,25.0,0.0,31.0,0,0,15,74,0
21,28,0,0,100,100,0.01,25.0,0.0,23.5,1,0,30,79,0
22,7,0,0,100,100,0.01,0.0,25.0,16.0,1,0,0,101,0
23,33,0,0,100,100,0.01,25.0,25.0,23.5,1,0,33,85,0
24,26,0,0,100,100,0.01,25.0,0.0,8.5,1,0,22,65,0
25,27,0,0,100,100,0.01,25.0,0.0,16.0,3,0,21,64,0
26,30,0,0,100,100,0.01,25.0,25.0,1.0,2,0,21,73,0
27,31,0,0,100,100,0.01,25.0,25.0,8.5,1,0,24,70,0
